access_route,access_status,acquisition_binary_status,acquisition_link_level,acquisition_record_id,acquisition_web_status,action_needed,alternate_official_sources,alternate_title,authority_note,availability_note,case_number,case_status,channel_id,citation,collection_name,committee,contributor,country,country_scope,court,coverage_end,coverage_start,custodian_or_owner,data_version,database,date_published,description,description_basis,description_source_url,direct_url,ema_priority,environmental_relationship,format,gazette_section,geography,harvest_checked,has_direct_url,has_request_pathway,has_source_pathway,has_source_url,host_agency,id,international_scope_type,is_internal_ema_record,issuer,keyword_common_group,keyword_discretionary,keyword_unique,keywords,km_value,knowledge_area,legacy_register_id,map_candidate,media_type,notes,original_title,parliament,parliament_period,priority,privacy_handling,programme_area,programme_area_original,project_id,record_category,record_set,record_type,record_type_original,record_type_simplified,reference_period,repository_or_body,request_agency,request_url,search_text,series,short_title,source_agency,source_family,source_label,source_level,source_page_url,source_placeholder,source_record_id,source_reliability,source_status,source_type,source_url,summary_snippet,tags,theme,title,year,youtube_video_id
EMA Information Centre,request_ema,,,,,Request access through EMA Information Centre,,,,This document is referenced in EMA’s Updated Public Statement 2024 and should be held by or accessible through EMA. No public online copy is currently linked in this register. Request access through the EMA Information Centre.,,,,,,,,,,,,,Legal Services / relevant technical unit,2026.08.27.4,documents,,Legal instrument catalogued by the register under Cross-cutting.,Record metadata; no legal interpretation added,,,,,,Section 8(1)(a)(i),,,False,True,True,False,,EMA-KM-0001,,False,,ema | environmental management | governance | foia | public statement,law | legal notice | statutory instrument | rules regulations | compliance reference | held by ema | ema information centre | request access | gazette confirmed | information centre request,freedom of information act chap 22 02 | ema km 0001 | freedom information | freedom information act | freedom,ema | environmental management | governance | foia | public statement | freedom of information act chap 22 02 | ema km 0001 | freedom information | freedom information act | freedom | law | legal notice | statutory instrument | rules regulations | compliance reference | held by ema | ema information centre | request access | gazette confirmed | information centre request,Legal reference — verify source text,"Environmental Governance, Law & Policy",,,,This document is referenced in EMA’s Updated Public Statement 2024 and should be held by or accessible through EMA. No public online copy is currently linked in this register. Request access through the EMA Information Centre.,,,,High,,Cross-cutting,Cross-cutting,,Legislation / Legal Instrument,Document Access Register,Legislation / Legal Instrument,Legislation / Legal Instrument,Legislation & Legal Instrument,,,,,Freedom of Information Act (FOIA) freedom of information act chap 22 02 cross cutting legislation legal instrument section 8 1 a i held by ema request required ema information centre held by ema request access through the ema information centre this document is referenced in ema s updated public statement 2024 and should be held by or accessible through ema no public online copy is currently linked in this register request access through the ema information centre ema environmental management governance foia public statement freedom of information act chap 22 02 ema km 0001 freedom information freedom information act freedom law legal notice statutory instrument rules regulations compliance reference held by ema ema information centre request access gazette confirmed information centre request,,Freedom of Information Act (FOIA),,,Held by EMA. Request access through the EMA Information Centre.,EMA,,EMA_INFORMATION_CENTRE_REQUEST,,Gazette-confirmed EMA holding,Held by EMA — Request Required,ema_information_centre_request,,,,,"Freedom of Information Act, Chap. 22:02",,
EMA website / Google Drive,open_online,,,,,Capture metadata and version,,,,,,,,,,,,,,,,,Legal Services / relevant technical unit,2026.08.27.4,documents,,Primary legislation establishing the Environmental Management Authority and the statutory framework for environmental management in Trinidad and Tobago.,Official EMA webpage / record context,https://www.ema.co.tt/ema-legal/legislation/,https://drive.google.com/file/d/1xtZ1yBGm8AD1zGuyyeXng70qdbpkpyhV/view?usp=sharing,,,,Section 8(1)(a)(i),,,True,False,True,True,,EMA-KM-0002,,False,,ema | environmental management | governance | foia | public statement,law | legal notice | statutory instrument | rules regulations | compliance reference | legislation legal instrument | cross cutting | section 8 1 a i | official ema linked | ema website google drive,environmental management act chap 35 05 | ema km 0002 | act chap | act | chap,ema | environmental management | governance | foia | public statement | environmental management act chap 35 05 | ema km 0002 | act chap | act | chap | law | legal notice | statutory instrument | rules regulations | compliance reference | legislation legal instrument | cross cutting | section 8 1 a i | official ema linked | ema website google drive,Legal reference — verify source text,"Environmental Governance, Law & Policy",,,,,,,,High,,Cross-cutting,Cross-cutting,,Legislation / Legal Instrument,Document Access Register,Legislation / Legal Instrument,Legislation / Legal Instrument,Legislation & Legal Instrument,,,,,Environmental Management Act environmental management act chap 35 05 cross cutting legislation legal instrument section 8 1 a i official ema linked ema website google drive ema environmental management governance foia public statement environmental management act chap 35 05 ema km 0002 act chap act chap law legal notice statutory instrument rules regulations compliance reference legislation legal instrument cross cutting section 8 1 a i official ema linked ema website google drive,,Environmental Management Act,,,,EMA,,,,Official EMA,Official EMA linked,public_or_external_link,https://www.ema.co.tt/ema-legal/legislation/,,,,"Environmental Management Act, Chap. 35:05",,
EMA website / Google Drive,open_online,,,,,Capture metadata and version,,,,,,,,,,,,,,,,,Legal Services / relevant technical unit,2026.08.27.4,documents,,"Rules governing the management of specified air pollutants through standards, source registration and permitting requirements.",Official EMA webpage / record context,https://www.ema.co.tt/ema-legal/legislation/,https://drive.google.com/file/d/1MHksVyf46mYErOtTAjbVUKOMZm0b9VOs/view?usp=sharing,,,,Section 8(1)(a)(i),,,True,False,True,True,,EMA-KM-0003,,False,,air pollution | air quality | source emitter | ambient monitoring | air permit,legal notice | statutory instrument | rules regulations | compliance reference | legislation legal instrument | section 8 1 a i | official ema linked | ema website google drive | official ema | air pollution rules 2014 index 1,air pollution rules 2014 | ema km 0003 | air pollution 2014 | air | law,air pollution | air quality | source emitter | ambient monitoring | air permit | air pollution rules 2014 | ema km 0003 | air pollution 2014 | air | law | legal notice | statutory instrument | rules regulations | compliance reference | legislation legal instrument | section 8 1 a i | official ema linked | ema website google drive | official ema | air pollution rules 2014 index 1,Legal reference — verify source text,Corporate & Institutional Management,,,,,,,,High,,Air,Air,,Legislation / Legal Instrument,Document Access Register,Legislation / Legal Instrument,Legislation / Legal Instrument,Legislation & Legal Instrument,,,,,Air Pollution Rules 2014 air pollution rules 2014 air legislation legal instrument section 8 1 a i official ema linked ema website google drive air pollution air quality source emitter ambient monitoring air permit air pollution rules 2014 ema km 0003 air pollution 2014 air law legal notice statutory instrument rules regulations compliance reference legislation legal instrument section 8 1 a i official ema linked ema website google drive official ema air pollution rules 2014 index 1,,Air Pollution Rules 2014,,,,EMA,,,,Official EMA,Official EMA linked,public_or_external_link,https://www.ema.co.tt/ema-legal/legislation/,,,,"Air Pollution Rules, 2014",2014,
EMA website / Google Drive,open_online,,,,,Capture metadata and version,,,,,,,,,,,,,,,,,Legal Services / relevant technical unit,2026.08.27.4,documents,,Legal instrument catalogued by the register under Air.,Record metadata; no legal interpretation added,https://www.ema.co.tt/ema-legal/legislation/,https://drive.google.com/file/d/1R1dGwMrP8GKUuXrD0_X-lA-VAFjoqEX6/view?usp=sharing,,,,Section 8(1)(a)(i),,,True,False,True,True,,EMA-KM-0004,,False,,air pollution | air quality | source emitter | ambient monitoring | air permit,legal notice | statutory instrument | rules regulations | compliance reference | legislation legal instrument | section 8 1 a i | official ema linked | ema website google drive | official ema | air pollution fees regulations 2014 index 1,air pollution fees regulations 2014 | ema km 0004 | air pollution fees | air | law,air pollution | air quality | source emitter | ambient monitoring | air permit | air pollution fees regulations 2014 | ema km 0004 | air pollution fees | air | law | legal notice | statutory instrument | rules regulations | compliance reference | legislation legal instrument | section 8 1 a i | official ema linked | ema website google drive | official ema | air pollution fees regulations 2014 index 1,Legal reference — verify source text,Corporate & Institutional Management,,,,,,,,High,,Air,Air,,Legislation / Legal Instrument,Document Access Register,Legislation / Legal Instrument,Legislation / Legal Instrument,Legislation & Legal Instrument,,,,,Air Pollution Fees Regulations 2014 air pollution fees regulations 2014 air legislation legal instrument section 8 1 a i official ema linked ema website google drive air pollution air quality source emitter ambient monitoring air permit air pollution fees regulations 2014 ema km 0004 air pollution fees air law legal notice statutory instrument rules regulations compliance reference legislation legal instrument section 8 1 a i official ema linked ema website google drive official ema air pollution fees regulations 2014 index 1,,Air Pollution Fees Regulations 2014,,,,EMA,,,,Official EMA,Official EMA linked,public_or_external_link,https://www.ema.co.tt/ema-legal/legislation/,,,,"Air Pollution (Fees) Regulations, 2014",2014,
EMA website / Google Drive,open_online,,,,,Capture metadata and version,,,,,,,,,,,,,,,,,Legal Services / relevant technical unit,2026.08.27.4,documents,,Rules governing applications for Certificates of Environmental Clearance and the environmental assessment process for designated activities.,Official EMA webpage / record context,https://www.ema.co.tt/our-environment/cec/,https://drive.google.com/file/d/1bXGwUkr1YFIBQDBM1CymY1Hx8Zrca3IC/view?usp=sharing,,,,Section 8(1)(a)(i),,,True,False,True,True,,EMA-KM-0005,,False,,certificate environmental clearance | cec | eia | designated activities | environmental impact assessment,legal notice | statutory instrument | rules regulations | compliance reference | legislation legal instrument | section 8 1 a i | official ema linked | ema website google drive | official ema | certificate of environmental clearance rules legal notice no 104 2001 index 1,certificate of environmental clearance rules legal notice no 104 2001 | ema km 0005 | certificate clearance | certificate clearance legal | law,certificate environmental clearance | cec | eia | designated activities | environmental impact assessment | certificate of environmental clearance rules legal notice no 104 2001 | ema km 0005 | certificate clearance | certificate clearance legal | law | legal notice | statutory instrument | rules regulations | compliance reference | legislation legal instrument | section 8 1 a i | official ema linked | ema website google drive | official ema | certificate of environmental clearance rules legal notice no 104 2001 index 1,Legal reference — verify source text,"Land, Development & CEC",,,,,,,,High,,CEC,CEC,,Legislation / Legal Instrument,Document Access Register,Legislation / Legal Instrument,Legislation / Legal Instrument,Legislation & Legal Instrument,,,,,CEC Rules 2001 certificate of environmental clearance rules legal notice no 104 2001 cec legislation legal instrument section 8 1 a i official ema linked ema website google drive certificate environmental clearance cec eia designated activities environmental impact assessment certificate of environmental clearance rules legal notice no 104 2001 ema km 0005 certificate clearance certificate clearance legal law legal notice statutory instrument rules regulations compliance reference legislation legal instrument section 8 1 a i official ema linked ema website google drive official ema certificate of environmental clearance rules legal notice no 104 2001 index 1,,CEC Rules 2001,,,,EMA,,,,Official EMA,Official EMA linked,public_or_external_link,https://www.ema.co.tt/our-environment/cec/,,,,"Certificate of Environmental Clearance Rules, Legal Notice No. 104/2001",2001,
EMA website / Google Drive,open_online,,,,,Capture metadata and version,,,,,,,,,,,,,,,,,Legal Services / relevant technical unit,2026.08.27.4,documents,,Legal instrument catalogued by the register under CEC.,Record metadata; no legal interpretation added,https://www.ema.co.tt/our-environment/cec/,https://drive.google.com/file/d/1c_AsGyW5cBroN2JW-D38eu5Z7ZG1qQJP/view?usp=sharing,,,,Section 8(1)(a)(i),,,True,False,True,True,,EMA-KM-0006,,False,,certificate environmental clearance | cec | eia | designated activities | environmental impact assessment,legal notice | statutory instrument | rules regulations | compliance reference | legislation legal instrument | section 8 1 a i | official ema linked | ema website google drive | official ema | certificate of environmental clearance rules designated activities order legal notice no 103 2001 index 1,certificate of environmental clearance rules designated activities order legal notice no 103 2001 | ema km 0006 | certificate clearance | certificate clearance designated | law,certificate environmental clearance | cec | eia | designated activities | environmental impact assessment | certificate of environmental clearance rules designated activities order legal notice no 103 2001 | ema km 0006 | certificate clearance | certificate clearance designated | law | legal notice | statutory instrument | rules regulations | compliance reference | legislation legal instrument | section 8 1 a i | official ema linked | ema website google drive | official ema | certificate of environmental clearance rules designated activities order legal notice no 103 2001 index 1,Legal reference — verify source text,"Land, Development & CEC",,,,,,,,High,,CEC,CEC,,Legislation / Legal Instrument,Document Access Register,Legislation / Legal Instrument,Legislation / Legal Instrument,Legislation & Legal Instrument,,,,,CEC Designated Activities Order 2001 certificate of environmental clearance rules designated activities order legal notice no 103 2001 cec legislation legal instrument section 8 1 a i official ema linked ema website google drive certificate environmental clearance cec eia designated activities environmental impact assessment certificate of environmental clearance rules designated activities order legal notice no 103 2001 ema km 0006 certificate clearance certificate clearance designated law legal notice statutory instrument rules regulations compliance reference legislation legal instrument section 8 1 a i official ema linked ema website google drive official ema certificate of environmental clearance rules designated activities order legal notice no 103 2001 index 1,,CEC Designated Activities Order 2001,,,,EMA,,,,Official EMA,Official EMA linked,public_or_external_link,https://www.ema.co.tt/our-environment/cec/,,,,"Certificate of Environmental Clearance Rules (Designated Activities) Order, Legal Notice No. 103/2001",2001,
EMA website / Google Drive,open_online,,,,,Capture metadata and version,,,,,,,,,,,,,,,,,Legal Services / relevant technical unit,2026.08.27.4,documents,,Legal instrument catalogued by the register under CEC.,Record metadata; no legal interpretation added,https://www.ema.co.tt/our-environment/cec/,https://drive.google.com/file/d/1R8vuB4odBBJMOkMatiOBkY5n1OOgLJfx/view?usp=sharing,,,,Section 8(1)(a)(i),,,True,False,True,True,,EMA-KM-0007,,False,,certificate environmental clearance | cec | eia | designated activities | environmental impact assessment,legal notice | statutory instrument | rules regulations | compliance reference | legislation legal instrument | section 8 1 a i | official ema linked | ema website google drive | official ema | certificate of environmental clearance rules designated activities amendment order 2007 legal notice no 164 2007 index 1,certificate of environmental clearance rules designated activities amendment order 2007 legal notice no 164 2007 | ema km 0007 | certificate clearance | certificate clearance designated | law,certificate environmental clearance | cec | eia | designated activities | environmental impact assessment | certificate of environmental clearance rules designated activities amendment order 2007 legal notice no 164 2007 | ema km 0007 | certificate clearance | certificate clearance designated | law | legal notice | statutory instrument | rules regulations | compliance reference | legislation legal instrument | section 8 1 a i | official ema linked | ema website google drive | official ema | certificate of environmental clearance rules designated activities amendment order 2007 legal notice no 164 2007 index 1,Legal reference — verify source text,"Land, Development & CEC",,,,,,,,High,,CEC,CEC,,Legislation / Legal Instrument,Document Access Register,Legislation / Legal Instrument,Legislation / Legal Instrument,Legislation & Legal Instrument,,,,,CEC Designated Activities Order 2007 certificate of environmental clearance rules designated activities amendment order 2007 legal notice no 164 2007 cec legislation legal instrument section 8 1 a i official ema linked ema website google drive certificate environmental clearance cec eia designated activities environmental impact assessment certificate of environmental clearance rules designated activities amendment order 2007 legal notice no 164 2007 ema km 0007 certificate clearance certificate clearance designated law legal notice statutory instrument rules regulations compliance reference legislation legal instrument section 8 1 a i official ema linked ema website google drive official ema certificate of environmental clearance rules designated activities amendment order 2007 legal notice no 164 2007 index 1,,CEC Designated Activities Order 2007,,,,EMA,,,,Official EMA,Official EMA linked,public_or_external_link,https://www.ema.co.tt/our-environment/cec/,,,,"Certificate of Environmental Clearance Rules (Designated Activities) (Amendment) Order, 2007, Legal Notice No. 164/2007",2007,
EMA website / Google Drive,open_online,,,,,Capture metadata and version,,,,,,,,,,,,,,,,,Legal Services / relevant technical unit,2026.08.27.4,documents,,Legal instrument catalogued by the register under CEC.,Record metadata; no legal interpretation added,https://www.ema.co.tt/our-environment/cec/,https://drive.google.com/file/d/1m_ojHVme4K-tjt3EamY_i3veYiWsV17E/view?usp=sharing,,,,Section 8(1)(a)(i),,,True,False,True,True,,EMA-KM-0008,,False,,certificate environmental clearance | cec | eia | designated activities | environmental impact assessment,legal notice | statutory instrument | rules regulations | compliance reference | legislation legal instrument | section 8 1 a i | official ema linked | ema website google drive | official ema | certificate of environmental clearance rules designated activities amendment order 2008 legal notice no 186 2008 index 1,certificate of environmental clearance rules designated activities amendment order 2008 legal notice no 186 2008 | ema km 0008 | certificate clearance | certificate clearance designated | law,certificate environmental clearance | cec | eia | designated activities | environmental impact assessment | certificate of environmental clearance rules designated activities amendment order 2008 legal notice no 186 2008 | ema km 0008 | certificate clearance | certificate clearance designated | law | legal notice | statutory instrument | rules regulations | compliance reference | legislation legal instrument | section 8 1 a i | official ema linked | ema website google drive | official ema | certificate of environmental clearance rules designated activities amendment order 2008 legal notice no 186 2008 index 1,Legal reference — verify source text,"Land, Development & CEC",,,,,,,,High,,CEC,CEC,,Legislation / Legal Instrument,Document Access Register,Legislation / Legal Instrument,Legislation / Legal Instrument,Legislation & Legal Instrument,,,,,CEC Designated Activities Order 2008 certificate of environmental clearance rules designated activities amendment order 2008 legal notice no 186 2008 cec legislation legal instrument section 8 1 a i official ema linked ema website google drive certificate environmental clearance cec eia designated activities environmental impact assessment certificate of environmental clearance rules designated activities amendment order 2008 legal notice no 186 2008 ema km 0008 certificate clearance certificate clearance designated law legal notice statutory instrument rules regulations compliance reference legislation legal instrument section 8 1 a i official ema linked ema website google drive official ema certificate of environmental clearance rules designated activities amendment order 2008 legal notice no 186 2008 index 1,,CEC Designated Activities Order 2008,,,,EMA,,,,Official EMA,Official EMA linked,public_or_external_link,https://www.ema.co.tt/our-environment/cec/,,,,"Certificate of Environmental Clearance Rules (Designated Activities) (Amendment) Order, 2008, Legal Notice No. 186/2008",2008,
EMA website / Google Drive,open_online,,,,,Capture metadata and version,,,,,,,,,,,,,,,,,Legal Services / relevant technical unit,2026.08.27.4,documents,,Legal instrument catalogued by the register under CEC.,Record metadata; no legal interpretation added,https://www.ema.co.tt/our-environment/cec/,https://drive.google.com/file/d/1tWSwL3b7ne2izFIB_eW29yAldGAynrWf/view?usp=sharing,,,,Section 8(1)(a)(i),,,True,False,True,True,,EMA-KM-0009,,False,,certificate environmental clearance | cec | eia | designated activities | environmental impact assessment,legal notice | statutory instrument | rules regulations | compliance reference | legislation legal instrument | section 8 1 a i | official ema linked | ema website google drive | official ema | certificate of environmental clearance rules fees regulations legal notice no 91 2001 index 1,certificate of environmental clearance rules fees regulations legal notice no 91 2001 | ema km 0009 | certificate clearance | certificate clearance fees | law,certificate environmental clearance | cec | eia | designated activities | environmental impact assessment | certificate of environmental clearance rules fees regulations legal notice no 91 2001 | ema km 0009 | certificate clearance | certificate clearance fees | law | legal notice | statutory instrument | rules regulations | compliance reference | legislation legal instrument | section 8 1 a i | official ema linked | ema website google drive | official ema | certificate of environmental clearance rules fees regulations legal notice no 91 2001 index 1,Legal reference — verify source text,"Land, Development & CEC",,,,,,,,High,,CEC,CEC,,Legislation / Legal Instrument,Document Access Register,Legislation / Legal Instrument,Legislation / Legal Instrument,Legislation & Legal Instrument,,,,,CEC Fees Regulations 2001 certificate of environmental clearance rules fees regulations legal notice no 91 2001 cec legislation legal instrument section 8 1 a i official ema linked ema website google drive certificate environmental clearance cec eia designated activities environmental impact assessment certificate of environmental clearance rules fees regulations legal notice no 91 2001 ema km 0009 certificate clearance certificate clearance fees law legal notice statutory instrument rules regulations compliance reference legislation legal instrument section 8 1 a i official ema linked ema website google drive official ema certificate of environmental clearance rules fees regulations legal notice no 91 2001 index 1,,CEC Fees Regulations 2001,,,,EMA,,,,Official EMA,Official EMA linked,public_or_external_link,https://www.ema.co.tt/our-environment/cec/,,,,"Certificate of Environmental Clearance Rules (Fees) Regulations, Legal Notice No. 91/2001",2001,
EMA website / Google Drive,open_online,,,,,Capture metadata and version,,,,,,,,,,,,,,,,,Legal Services / relevant technical unit,2026.08.27.4,documents,,Legal instrument catalogued by the register under Biodiversity/ESA/ESS.,Record metadata; no legal interpretation added,https://www.ema.co.tt/ema-legal/legislation/,https://drive.google.com/file/d/1NrBUz4-js9cNGjLx4ZZQecQvfoegmG1z/view?usp=sharing,,,,Section 8(1)(a)(i),,,True,False,True,True,,EMA-KM-0010,,False,,biodiversity | environmentally sensitive area | environmentally sensitive species | protected area | species conservation,law | legal notice | statutory instrument | rules regulations | compliance reference | legislation legal instrument | biodiversity esa ess | section 8 1 a i | official ema linked | ema website google drive,environmentally sensitive areas rules 2001 legal notice no 37 2001 | ema km 0010 | esa | environmentally sensitive | environmentally sensitive areas,biodiversity | environmentally sensitive area | environmentally sensitive species | protected area | species conservation | environmentally sensitive areas rules 2001 legal notice no 37 2001 | ema km 0010 | esa | environmentally sensitive | environmentally sensitive areas | law | legal notice | statutory instrument | rules regulations | compliance reference | legislation legal instrument | biodiversity esa ess | section 8 1 a i | official ema linked | ema website google drive,Legal reference — verify source text,"Biodiversity, Ecosystems & Protected Areas",,,,,,,,High,,Biodiversity/ESA/ESS,Biodiversity/ESA/ESS,,Legislation / Legal Instrument,Document Access Register,Legislation / Legal Instrument,Legislation / Legal Instrument,Legislation & Legal Instrument,,,,,ESA Rules 2001 environmentally sensitive areas rules 2001 legal notice no 37 2001 biodiversity esa ess legislation legal instrument section 8 1 a i official ema linked ema website google drive biodiversity environmentally sensitive area environmentally sensitive species protected area species conservation environmentally sensitive areas rules 2001 legal notice no 37 2001 ema km 0010 esa environmentally sensitive environmentally sensitive areas law legal notice statutory instrument rules regulations compliance reference legislation legal instrument biodiversity esa ess section 8 1 a i official ema linked ema website google drive,,ESA Rules 2001,,,,EMA,,,,Official EMA,Official EMA linked,public_or_external_link,https://www.ema.co.tt/ema-legal/legislation/,,,,"Environmentally Sensitive Areas Rules, 2001, Legal Notice No. 37/2001",2001,
EMA website / Google Drive,open_online,,,,,Capture metadata and version,,,,,,,,,,,,,,,,,Legal Services / relevant technical unit,2026.08.27.4,documents,,Legal instrument catalogued by the register under Biodiversity/ESA/ESS.,Record metadata; no legal interpretation added,https://www.ema.co.tt/ema-legal/legislation/,https://drive.google.com/file/d/1TA1al4AXgoKrsjnCFzTfPjz2q8YBpQjx/view?usp=sharing,,,,Section 8(1)(a)(i),,,True,False,True,True,,EMA-KM-0011,,False,,biodiversity | environmentally sensitive area | environmentally sensitive species | protected area | species conservation,law | legal notice | statutory instrument | rules regulations | compliance reference | legislation legal instrument | biodiversity esa ess | section 8 1 a i | official ema linked | ema website google drive,environmentally sensitive areas matura 2004 legal notice no 323 2004 | ema km 0011 | esa | environmentally sensitive | environmentally sensitive areas,biodiversity | environmentally sensitive area | environmentally sensitive species | protected area | species conservation | environmentally sensitive areas matura 2004 legal notice no 323 2004 | ema km 0011 | esa | environmentally sensitive | environmentally sensitive areas | law | legal notice | statutory instrument | rules regulations | compliance reference | legislation legal instrument | biodiversity esa ess | section 8 1 a i | official ema linked | ema website google drive,Legal reference — verify source text,"Biodiversity, Ecosystems & Protected Areas",,,,,,,,High,,Biodiversity/ESA/ESS,Biodiversity/ESA/ESS,,Legislation / Legal Instrument,Document Access Register,Legislation / Legal Instrument,Legislation / Legal Instrument,Legislation & Legal Instrument,,,,,"Environmentally Sensitive Areas (Matura), 2004 environmentally sensitive areas matura 2004 legal notice no 323 2004 biodiversity esa ess legislation legal instrument section 8 1 a i official ema linked ema website google drive biodiversity environmentally sensitive area environmentally sensitive species protected area species conservation environmentally sensitive areas matura 2004 legal notice no 323 2004 ema km 0011 esa environmentally sensitive environmentally sensitive areas law legal notice statutory instrument rules regulations compliance reference legislation legal instrument biodiversity esa ess section 8 1 a i official ema linked ema website google drive",,"Environmentally Sensitive Areas (Matura), 2004",,,,EMA,,,,Official EMA,Official EMA linked,public_or_external_link,https://www.ema.co.tt/ema-legal/legislation/,,,,"Environmentally Sensitive Areas (Matura), 2004, Legal Notice No. 323/2004",2004,
